,datetime,open,high,low,close,volume
0,2024-10-28T09:15:00+05:30,1337.5,1337.5,1322.55,1323.1,1066500
1,2024-10-28T09:30:00+05:30,1323.55,1329.45,1322.45,1323.5,635069
2,2024-10-28T09:45:00+05:30,1323.5,1331.3,1322.1,1331.25,554634
3,2024-10-28T10:00:00+05:30,1331.25,1332.9,1328.3,1332.0,439601
4,2024-10-28T10:15:00+05:30,1332.0,1340.75,1331.9,1340.1,657560
5,2024-10-28T10:30:00+05:30,1340.05,1344.45,1337.6,1343.9,449282
6,2024-10-28T10:45:00+05:30,1343.9,1345.65,1341.0,1341.5,390398
7,2024-10-28T11:00:00+05:30,1341.75,1347.9,1339.25,1347.8,388186
8,2024-10-28T11:15:00+05:30,1347.75,1349.0,1346.15,1347.9,336570
9,2024-10-28T11:30:00+05:30,1347.9,1350.8,1347.0,1350.4,309630
10,2024-10-28T11:45:00+05:30,1350.4,1351.75,1347.5,1348.05,279955
11,2024-10-28T12:00:00+05:30,1348.05,1352.0,1346.3,1352.0,238842
12,2024-10-28T12:15:00+05:30,1351.95,1352.75,1349.35,1351.4,271832
13,2024-10-28T12:30:00+05:30,1351.4,1353.0,1349.2,1349.8,252174
14,2024-10-28T12:45:00+05:30,1349.8,1350.0,1340.55,1343.4,400947
15,2024-10-28T13:00:00+05:30,1343.4,1343.85,1338.75,1339.95,281912
16,2024-10-28T13:15:00+05:30,1339.95,1344.75,1339.5,1342.5,202422
17,2024-10-28T13:30:00+05:30,1342.5,1342.75,1339.0,1339.8,265898
18,2024-10-28T13:45:00+05:30,1339.8,1340.0,1337.0,1339.1,262993
19,2024-10-28T14:00:00+05:30,1338.65,1340.8,1337.0,1338.8,297275
20,2024-10-28T14:15:00+05:30,1338.8,1340.5,1335.2,1336.05,330723
21,2024-10-28T14:30:00+05:30,1336.05,1340.0,1336.0,1339.1,347195
22,2024-10-28T14:45:00+05:30,1339.1,1340.0,1338.1,1338.8,297008
23,2024-10-28T15:00:00+05:30,1338.75,1338.9,1332.8,1334.75,906278
24,2024-10-28T15:15:00+05:30,1334.75,1335.2,1332.0,1335.0,824766
25,2024-10-29T09:15:00+05:30,1328.1,1335.95,1323.2,1332.75,1723670
26,2024-10-29T09:30:00+05:30,1332.75,1333.25,1328.15,1328.75,432878
27,2024-10-29T09:45:00+05:30,1328.5,1328.9,1322.8,1325.5,476609
28,2024-10-29T10:00:00+05:30,1325.6,1326.5,1320.3,1324.9,558770
29,2024-10-29T10:15:00+05:30,1324.85,1329.25,1323.2,1328.3,463922
30,2024-10-29T10:30:00+05:30,1328.15,1330.95,1325.25,1326.55,668633
31,2024-10-29T10:45:00+05:30,1326.55,1327.55,1324.0,1326.7,539200
32,2024-10-29T11:00:00+05:30,1326.7,1326.7,1324.3,1325.45,246208
33,2024-10-29T11:15:00+05:30,1325.4,1326.9,1324.2,1324.7,156876
34,2024-10-29T11:30:00+05:30,1324.45,1328.2,1323.3,1327.5,306262
35,2024-10-29T11:45:00+05:30,1327.5,1329.5,1326.55,1329.05,222965
36,2024-10-29T12:00:00+05:30,1329.1,1331.9,1328.85,1331.85,267717
37,2024-10-29T12:15:00+05:30,1331.85,1333.15,1330.0,1330.3,335641
38,2024-10-29T12:30:00+05:30,1330.25,1334.25,1330.0,1334.15,248543
39,2024-10-29T12:45:00+05:30,1334.15,1335.0,1332.65,1333.15,202240
40,2024-10-29T13:00:00+05:30,1333.15,1335.45,1332.1,1333.25,236050
41,2024-10-29T13:15:00+05:30,1333.25,1334.2,1330.2,1332.05,285822
42,2024-10-29T13:30:00+05:30,1332.05,1332.75,1330.0,1330.25,200521
43,2024-10-29T13:45:00+05:30,1330.25,1332.7,1329.2,1332.55,202952
44,2024-10-29T14:00:00+05:30,1332.55,1335.4,1332.45,1335.3,338523
45,2024-10-29T14:15:00+05:30,1335.3,1336.9,1334.25,1335.15,502868
46,2024-10-29T14:30:00+05:30,1335.15,1335.75,1332.45,1334.5,454785
47,2024-10-29T14:45:00+05:30,1334.45,1335.0,1332.95,1334.1,389790
48,2024-10-29T15:00:00+05:30,1334.1,1343.2,1334.0,1340.8,1111883
49,2024-10-29T15:15:00+05:30,1340.7,1341.0,1339.0,1340.0,1183653
50,2024-10-30T09:15:00+05:30,1335.8,1339.0,1325.35,1335.5,1886604
51,2024-10-30T09:30:00+05:30,1335.45,1345.0,1334.0,1344.2,646949
52,2024-10-30T09:45:00+05:30,1344.2,1347.0,1340.65,1344.05,487378
53,2024-10-30T10:00:00+05:30,1344.3,1346.55,1342.0,1345.35,304885
54,2024-10-30T10:15:00+05:30,1345.4,1347.85,1343.75,1346.05,255357
55,2024-10-30T10:30:00+05:30,1345.9,1346.45,1343.6,1345.15,221788
56,2024-10-30T10:45:00+05:30,1345.15,1346.8,1344.65,1345.75,305137
57,2024-10-30T11:00:00+05:30,1345.75,1345.95,1340.15,1340.3,329452
58,2024-10-30T11:15:00+05:30,1340.3,1342.95,1338.3,1340.3,317638
59,2024-10-30T11:30:00+05:30,1340.3,1342.4,1339.5,1340.0,446104
60,2024-10-30T11:45:00+05:30,1340.0,1342.0,1338.1,1341.95,357439
61,2024-10-30T12:00:00+05:30,1342.0,1344.6,1339.4,1344.6,270484
62,2024-10-30T12:15:00+05:30,1344.5,1346.0,1342.8,1345.2,292004
63,2024-10-30T12:30:00+05:30,1345.2,1346.5,1344.6,1345.7,212859
64,2024-10-30T12:45:00+05:30,1345.7,1348.55,1345.15,1348.4,184597
65,2024-10-30T13:00:00+05:30,1348.3,1350.0,1343.75,1345.3,444347
66,2024-10-30T13:15:00+05:30,1345.25,1345.7,1342.1,1343.75,326357
67,2024-10-30T13:30:00+05:30,1343.75,1345.0,1339.9,1341.6,259445
68,2024-10-30T13:45:00+05:30,1341.6,1343.1,1339.55,1341.35,230560
69,2024-10-30T14:00:00+05:30,1341.15,1342.4,1337.2,1337.65,251671
70,2024-10-30T14:15:00+05:30,1337.6,1341.6,1336.0,1341.1,279745
71,2024-10-30T14:30:00+05:30,1341.1,1347.7,1340.45,1346.8,373179
72,2024-10-30T14:45:00+05:30,1346.8,1347.75,1343.1,1343.85,460635
73,2024-10-30T15:00:00+05:30,1343.85,1345.2,1341.6,1344.5,1327011
74,2024-10-30T15:15:00+05:30,1345.15,1345.75,1340.8,1344.85,1288900
75,2024-10-31T09:15:00+05:30,1340.1,1343.0,1334.05,1335.4,754960
76,2024-10-31T09:30:00+05:30,1335.4,1336.35,1330.0,1331.4,493990
77,2024-10-31T09:45:00+05:30,1331.25,1335.55,1331.2,1335.2,254835
