,datetime,open,high,low,close,volume
0,2019-11-11T00:00:00+05:30,314.7,319.65,313.1,318.25,20491942
1,2019-11-13T00:00:00+05:30,316.05,318.6,305.65,306.8,32675829
2,2019-11-14T00:00:00+05:30,306.95,309.5,299.7,306.0,43617772
3,2019-11-15T00:00:00+05:30,312.0,323.7,310.05,321.9,95199897
4,2019-11-18T00:00:00+05:30,324.0,329.85,323.75,325.1,39009263
5,2019-11-19T00:00:00+05:30,325.8,331.8,322.1,330.4,41372145
6,2019-11-20T00:00:00+05:30,332.0,332.5,325.1,328.8,29972583
7,2019-11-21T00:00:00+05:30,329.25,332.85,326.55,331.35,34116162
8,2019-11-22T00:00:00+05:30,331.45,333.8,328.25,329.3,28974967
9,2019-11-25T00:00:00+05:30,329.0,337.5,328.35,336.1,27561300
10,2019-11-26T00:00:00+05:30,338.0,340.0,332.6,335.5,36464072
11,2019-11-27T00:00:00+05:30,335.95,345.55,334.05,343.55,33971305
12,2019-11-28T00:00:00+05:30,346.85,351.0,344.5,349.3,42538227
13,2019-11-29T00:00:00+05:30,348.85,348.85,340.6,341.85,23081823
14,2019-12-02T00:00:00+05:30,343.9,344.35,336.2,338.5,20648850
15,2019-12-03T00:00:00+05:30,341.0,342.95,333.35,336.25,26482178
16,2019-12-04T00:00:00+05:30,334.1,342.95,331.85,341.85,26789483
17,2019-12-05T00:00:00+05:30,343.0,344.6,335.15,336.2,30429507
18,2019-12-06T00:00:00+05:30,336.7,337.65,318.0,320.0,47027528
19,2019-12-09T00:00:00+05:30,318.95,327.65,314.75,316.7,52435239
20,2019-12-10T00:00:00+05:30,317.2,322.65,312.25,313.4,52155809
21,2019-12-11T00:00:00+05:30,311.2,315.75,308.0,312.8,52557951
22,2019-12-12T00:00:00+05:30,314.0,322.95,313.55,321.85,37804216
23,2019-12-13T00:00:00+05:30,325.2,333.45,325.0,332.55,40955226
24,2019-12-16T00:00:00+05:30,335.95,337.25,330.8,331.85,35027613
25,2019-12-17T00:00:00+05:30,333.25,335.75,330.65,332.9,26734601
26,2019-12-18T00:00:00+05:30,335.0,335.55,325.8,326.95,26449075
27,2019-12-19T00:00:00+05:30,327.35,329.6,324.5,328.15,27516289
28,2019-12-20T00:00:00+05:30,330.35,339.5,330.35,337.85,51839714
29,2019-12-23T00:00:00+05:30,335.7,338.85,330.35,332.4,30150335
